SiteCode,Plot,Competition,Rodents,Trt,Species,Fecundity,SeedSize_mg,Graminoid,Litterdepth,Year,numb,prec1,prod_m2
BN,251,-,-,--,BASA,150,8.328,25,22.08333333,Adults_Y3,8,0.053333333,338.4
BN,251,-,-,--,ERPU,6629,0.0689,25,22.08333333,Seedlings,132,0.019912897,338.4
BN,251,-,-,--,ERPU,6629,0.0689,25,22.08333333,Adults_Y3,53,0.00799533,338.4
BN,251,-,-,--,ERUM,494,2.164286,25,22.08333333,Seedlings,190,0.38486469,338.4
BN,251,-,-,--,ERUM,494,2.164286,25,22.08333333,Adults_Y3,32,0.064819316,338.4
BN,251,-,-,--,GAAR,230,3.92,25,22.08333333,Seedlings,7,0.030434783,338.4
BN,251,-,-,--,GAAR,230,3.92,25,22.08333333,Adults_Y3,2,0.008695652,338.4
BN,251,-,-,--,GETR,127,1.354558,25,22.08333333,Seedlings,9,0.071010161,338.4
BN,251,-,-,--,GETR,127,1.354558,25,22.08333333,Adults_Y3,1,0.007890018,338.4
BN,251,-,-,--,GEVI,36,8.68,25,22.08333333,Seedlings,6,0.168412706,338.4
BN,251,-,-,--,GEVI,36,8.68,25,22.08333333,Adults_Y3,2,0.056137569,338.4
BN,251,-,-,--,HEVI,5177,0.581626,25,22.08333333,Seedlings,336,0.064900474,338.4
BN,251,-,-,--,HEVI,5177,0.581626,25,22.08333333,Adults_Y3,71,0.013714088,338.4
BN,251,-,-,--,LIRU,138,31.084,25,22.08333333,Seedlings,10,0.072463768,338.4
BN,251,-,-,--,LIRU,138,31.084,25,22.08333333,Adults_Y3,24,0.173913043,338.4
BN,251,-,-,--,LOTR,37,3.652,25,22.08333333,Seedlings,6,0.160714286,338.4
BN,251,-,-,--,LOTR,37,3.652,25,22.08333333,Adults_Y3,3,0.080357143,338.4
BN,251,-,-,--,LUSE,78,20.92,25,22.08333333,Seedlings,70,0.897435897,338.4
BN,251,-,-,--,LUSE,78,20.92,25,22.08333333,Adults_Y3,44,0.564102564,338.4
BN,251,-,-,--,PEPR,926,0.046,25,22.08333333,Seedlings,1,0.001079501,338.4
BN,251,-,-,--,PEPR,926,0.046,25,22.08333333,Adults_Y3,0,0,338.4
BN,251,-,-,--,POGL,12587,0.0956,25,22.08333333,Seedlings,109,0.00865985,338.4
BN,251,-,-,--,POGL,12587,0.0956,25,22.08333333,Adults_Y3,0,0,338.4
BN,251,-,-,--,ZIVE,290,1.375,25,22.08333333,Seedlings,40,0.137855977,338.4
BN,251,-,-,--,ZIVE,290,1.375,25,22.08333333,Adults_Y3,32,0.110284781,338.4
BN,253,+,-,+-,ACMI,1277,0.0884,80,18.18181818,Seedlings,24,0.018794049,338.4
BN,253,+,-,+-,ACMI,1277,0.0884,80,18.18181818,Adults_Y3,2,0.001566171,338.4
BN,253,+,-,+-,ANMI,1244,0.0441,80,18.18181818,Seedlings,0,0,338.4
BN,253,+,-,+-,ANMI,1244,0.0441,80,18.18181818,Adults_Y3,1,0.000803565,338.4
BN,253,+,-,+-,ARLU,4919,0.14,80,18.18181818,Seedlings,8,0.00162636,338.4
BN,253,+,-,+-,ARLU,4919,0.14,80,18.18181818,Adults_Y3,1,0.000203295,338.4
BN,253,+,-,+-,ARSO,59,0.752,80,18.18181818,Seedlings,1,0.016865079,338.4
BN,253,+,-,+-,ARSO,59,0.752,80,18.18181818,Adults_Y3,1,0.016865079,338.4
BN,253,+,-,+-,BASA,150,8.328,80,18.18181818,Seedlings,32,0.213333333,338.4
BN,253,+,-,+-,BASA,150,8.328,80,18.18181818,Adults_Y3,33,0.22,338.4
BN,253,+,-,+-,ERPU,6629,0.0689,80,18.18181818,Seedlings,6,0.000905132,338.4
BN,253,+,-,+-,ERPU,6629,0.0689,80,18.18181818,Adults_Y3,0,0,338.4
BN,253,+,-,+-,ERUM,494,2.164286,80,18.18181818,Seedlings,195,0.394992708,338.4
BN,253,+,-,+-,ERUM,494,2.164286,80,18.18181818,Adults_Y3,52,0.105331389,338.4
BN,253,+,-,+-,GAAR,230,3.92,80,18.18181818,Seedlings,4,0.017391304,338.4
BN,253,+,-,+-,GAAR,230,3.92,80,18.18181818,Adults_Y3,0,0,338.4
BN,253,+,-,+-,GETR,127,1.354558,80,18.18181818,Seedlings,13,0.102570233,338.4
BN,253,+,-,+-,GETR,127,1.354558,80,18.18181818,Adults_Y3,0,0,338.4
BN,253,+,-,+-,GEVI,36,8.68,80,18.18181818,Seedlings,9,0.252619059,338.4
BN,253,+,-,+-,GEVI,36,8.68,80,18.18181818,Adults_Y3,2,0.056137569,338.4
BN,253,+,-,+-,HEVI,5177,0.581626,80,18.18181818,Seedlings,164,0.031677612,338.4
BN,253,+,-,+-,HEVI,5177,0.581626,80,18.18181818,Adults_Y3,2,0.000386312,338.4
BN,253,+,-,+-,LIRU,138,31.084,80,18.18181818,Seedlings,20,0.144927536,338.4
BN,253,+,-,+-,LIRU,138,31.084,80,18.18181818,Adults_Y3,18,0.130434783,338.4
BN,253,+,-,+-,LOTR,37,3.652,80,18.18181818,Seedlings,4,0.107142857,338.4
BN,253,+,-,+-,LOTR,37,3.652,80,18.18181818,Adults_Y3,1,0.026785714,338.4
