Site,Species,Seed_loss_percent,SeedSize_mg_log10
BN,POGL,0,-1
KL,ACMI,0,-1.045757491
KL,ACMI,0,-1.045757491
KL,ACMI,0,-1.045757491
KL,ACMI,0,-1.045757491
KL,ACMI,0,-1.045757491
KL,ACMI,0,-1.045757491
KL,ACMI,0,-1.045757491
KL,ACMI,0,-1.045757491
KL,ACMI,0,-1.045757491
KL,ACMI,0,-1.045757491
KL,ACMI,0,-1.045757491
KL,ACMI,0,-1.045757491
KL,ACMI,0,-1.045757491
KL,ACMI,0,-1.045757491
KL,ACMI,0,-1.045757491
KL,ACMI,0,-1.045757491
KL,ACMI,0,-1.045757491
KL,ACMI,0,-1.045757491
BF,ACMI,0,-1.045757491
BF,ACMI,0,-1.045757491
BF,ACMI,0,-1.045757491
BF,ACMI,0,-1.045757491
BF,ACMI,0,-1.045757491
BN,ACMI,0,-1.045757491
BN,ACMI,0,-1.045757491
BN,ACMI,0,-1.045757491
BN,ACMI,0,-1.045757491
BN,ACMI,0,-1.045757491
BN,ACMI,0,-1.045757491
BN,ACMI,0,-1.045757491
BN,ACMI,0,-1.045757491
CW,ACMI,0,-1.045757491
CW,ACMI,0,-1.045757491
CW,ACMI,0,-1.045757491
CW,ACMI,0,-1.045757491
CW,ACMI,0,-1.045757491
BF,ZIVE,0,0.139879086
BF,ZIVE,0,0.139879086
BF,ZIVE,0,0.139879086
BF,ZIVE,0,0.139879086
BF,ZIVE,0,0.139879086
BF,ZIVE,0,0.139879086
BF,ZIVE,0,0.139879086
BF,ZIVE,0,0.139879086
BF,ZIVE,0,0.139879086
BF,ZIVE,0,0.139879086
BF,ZIVE,0,0.139879086
BF,ZIVE,0,0.139879086
BF,ZIVE,0,0.139879086
BF,ZIVE,0,0.139879086
CW,ZIVE,0,0.139879086
CW,ZIVE,0,0.139879086
CW,ZIVE,0,0.139879086
CW,ZIVE,0,0.139879086
CW,ZIVE,0,0.139879086
CW,ZIVE,0,0.139879086
CW,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
CN,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
DR,ZIVE,0,0.139879086
CN,LOTR,0,0.562292864
CN,LOTR,0,0.562292864
CW,LOTR,0,0.562292864
CW,LOTR,0,0.562292864
CW,LOTR,0,0.562292864
CW,LOTR,0,0.562292864
BM,LOTR,0,0.562292864
BM,LOTR,0,0.562292864
BM,LOTR,0,0.562292864
BM,LOTR,0,0.562292864
BM,LOTR,0,0.562292864
BM,LOTR,0,0.562292864
BM,LOTR,0,0.562292864
BM,LOTR,0,0.562292864
BM,LOTR,0,0.562292864
BM,LOTR,0,0.562292864
BM,LOTR,0,0.562292864
BM,LOTR,0,0.562292864
BN,LOTR,0,0.562292864
PE,ZIVE,0,0.139879086
PE,ZIVE,0,0.139879086
PE,ZIVE,0,0.139879086
PE,ZIVE,0,0.139879086
PE,ZIVE,0,0.139879086
PE,ZIVE,0,0.139879086
PE,ZIVE,0,0.139879086
PE,ZIVE,0,0.139879086
PE,ZIVE,0,0.139879086
PE,ZIVE,0,0.139879086
PE,ZIVE,0,0.139879086
PE,ZIVE,0,0.139879086
PE,ZIVE,0,0.139879086
PE,ZIVE,0,0.139879086
PE,ZIVE,0,0.139879086
